Time_s,Mu,Sigma,Nash_b_A
0,-4,0.5,0.85
1,-8.24152,0.425579,0.887211
2,-8.27588,0.377161,0.91142
3,-8.28189,0.340956,0.929522
4,-8.27269,0.341926,0.929037
5,-8.26752,0.345029,0.927485
6,-8.25592,0.333949,0.933025
7,-8.24412,0.339607,0.930196
8,-8.21566,0.368754,0.915623
9,-8.19311,0.39186,0.90407
10,-8.20245,0.474125,0.862937
11,-8.24395,0.49379,0.853105
12,-8.27707,0.502967,0.848517
13,-8.30869,0.503564,0.848218
14,-8.3396,0.509326,0.845337
15,-8.36122,0.509677,0.845161
16,-8.33727,0.552823,0.823588
17,-8.28722,0.628174,0.785913
18,-8.2716,0.642552,0.778724
19,-8.2413,0.690741,0.754629
20,-8.21564,0.730645,0.734678
21,-8.1835,0.777044,0.711478
22,-8.1716,0.796968,0.701516
23,-8.1512,0.821782,0.689109
24,-8.13973,0.853251,0.673375
25,-8.14472,0.866048,0.666976
26,-8.13932,0.872818,0.663591
27,-8.12789,0.878948,0.660526
28,-8.11625,0.89141,0.654295
29,-8.10406,0.901481,0.649259
30,-8.10258,0.902906,0.648547
31,-8.09004,0.914648,0.642676
32,-8.07995,0.925242,0.637379
33,-8.07263,0.931851,0.634075
34,-8.06719,0.940449,0.629775
35,-8.06171,0.947225,0.626388
36,-8.05822,0.949739,0.62513
37,-8.05553,0.953109,0.623445
38,-8.04865,0.955231,0.622384
39,-8.04534,0.961444,0.619278
40,-8.03841,0.964392,0.617804
41,-8.02669,0.974715,0.612643
42,-8.01636,0.979618,0.610191
43,-8.00575,0.983674,0.608163
44,-8.00024,0.987493,0.606253
45,-7.99303,0.993821,0.603089
46,-8.00354,0.991303,0.604348
47,-8.00925,0.988745,0.605627
48,-8.02287,0.988856,0.605572
49,-8.03903,0.985759,0.607121
50,-8.0546,0.982373,0.608813
51,-8.06945,0.979904,0.610048
52,-8.08417,0.979356,0.610322
53,-8.09437,0.975856,0.612072
54,-8.10299,0.972631,0.613685
55,-8.10663,0.969371,0.615315
56,-8.10729,0.965764,0.617118
57,-8.10809,0.962939,0.61853
58,-8.11011,0.959765,0.620117
59,-8.11548,0.955989,0.622006
60,-8.11463,0.955739,0.62213
